"Model","battery_mah","ram","storage","lunch_year","used_month","battery_health","price"
"iPhone 15 Pro Max","4422","8","256","2023","26","69","83731"
"iPhone 15 Pro Max","4422","8","256","2023","26","52","63299"
"iPhone XS","2658","4","64","2018","86","88","31055"
"iPhone 6s Plus","2750","2","16","2015","122","73","3521"
"iPhone 6","1810","1","16","2014","134","65","2862"
"iPhone 16 Plus","4674","8","128","2024","14","85","89343"
"iPhone 13","3227","4","128","2021","50","81","35161"
"iPhone 14 Pro","3200","6","128","2022","38","82","71345"
"iPhone 14 Pro","3200","6","128","2022","38","96","87512"
"iPhone 12 Pro Max","3687","6","128","2020","60","100","46553"
"iPhone 14 Pro","3200","6","128","2022","38","93","77606"
"iPhone XS Max","3174","4","64","2018","86","70","21087"
"iPhone 5c","1507","1","8","2013","146","99","3837"
"iPhone 6","1810","1","16","2014","134","96","4657"
"iPhone XS","2658","4","64","2018","86","81","11140"
"iPhone 7","1960","2","32","2016","110","82","3676"
"iPhone 14 Plus","4325","6","128","2022","37","52","45308"
"iPhone 12","2815","4","64","2020","61","88","43314"
"iPhone 13 mini","2438","4","128","2021","50","77","32865"
"iPhone 14 Pro Max","4323","6","128","2022","38","99","87375"
"iPhone 14 Pro","3200","6","128","2022","38","99","76788"
"iPhone 13 Pro","3095","6","128","2021","50","99","76365"
"iPhone 5","1440","1","16","2012","158","64","2812"
"iPhone 11","3110","4","64","2019","74","80","11188"
"iPhone XS","2658","4","64","2018","86","74","4980"
"iPhone XS","2658","4","64","2018","86","83","17787"
"iPhone 13 Pro Max","4352","6","128","2021","50","56","49916"
"iPhone SE (1st gen)","1624","2","16","2016","116","55","1558"
"iPhone 15 Pro Max","4422","8","256","2023","26","71","91238"
"iPhone 6s Plus","2750","2","16","2015","122","92","4613"
"iPhone 13 mini","2438","4","128","2021","50","61","30964"
"iPhone 13 mini","2438","4","128","2021","50","78","40222"
"iPhone X","2716","3","64","2017","96","99","6626"
"iPhone XR","2942","3","64","2018","86","83","24746"
"iPhone XS Max","3174","4","64","2018","86","100","36622"
"iPhone 16","3561","8","128","2024","14","61","52702"
"iPhone 7 Plus","2900","3","32","2016","110","90","5146"
"iPhone 7","1960","2","32","2016","110","77","3756"
"iPhone 7","1960","2","32","2016","110","51","2268"
"iPhone 8 Plus","2691","3","64","2017","98","64","3129"
"iPhone 6 Plus","2915","1","16","2014","134","74","3671"
"iPhone 15 Plus","4395","6","128","2023","26","62","58688"
"iPhone 15 Pro","3343","8","128","2023","26","66","76564"
"iPhone 13 Pro","3095","6","128","2021","50","72","43162"
"iPhone 6s","1715","2","16","2015","122","67","2893"
"iPhone 16 Pro","3582","8","128","2024","14","78","87709"
"iPhone 14 Pro","3200","6","128","2022","38","76","56145"
"iPhone 16","3561","8","128","2024","14","86","75505"
"iPhone 12 Pro","2815","6","128","2020","61","92","41338"
"iPhone 12","2815","4","64","2020","61","84","44392"
"iPhone 6 Plus","2915","1","16","2014","134","55","2789"
"iPhone 13 mini","2438","4","128","2021","50","91","42949"
"iPhone 12 Pro","2815","6","128","2020","61","84","38213"
"iPhone 14","3279","6","128","2022","38","94","59879"
"iPhone 12 Pro Max","3687","6","128","2020","60","56","39041"
"iPhone 6s Plus","2750","2","16","2015","122","68","3373"
"iPhone XS","2658","4","64","2018","86","91","6771"
"iPhone 16","3561","8","128","2024","14","52","47977"
"iPhone 8 Plus","2691","3","64","2017","98","64","3514"
"iPhone 8 Plus","2691","3","64","2017","98","94","5137"
"iPhone 5c","1507","1","8","2013","146","55","2052"
"iPhone 8","1821","2","64","2017","98","69","3408"
"iPhone 6s","1715","2","16","2015","122","95","3754"
"iPhone 6s","1715","2","16","2015","122","64","2861"
"iPhone 11 Pro","3046","4","64","2019","74","61","23389"
"iPhone 16 Pro","3582","8","128","2024","14","75","90046"
"iPhone 16 Pro Max","4685","8","256","2024","14","53","73584"
"iPhone 11","3110","4","64","2019","74","65","15315"
"iPhone 7","1960","2","32","2016","110","69","3315"
"iPhone 12 Pro Max","3687","6","128","2020","60","54","38195"
"iPhone 6 Plus","2915","1","16","2014","134","94","4996"
"iPhone 13 Pro Max","4352","6","128","2021","50","65","38615"
"iPhone 14 Pro","3200","6","128","2022","38","92","93336"
"iPhone XS Max","3174","4","64","2018","86","72","29685"
"iPhone 12 Pro","2815","6","128","2020","61","62","42037"
"iPhone 15 Pro","3343","8","128","2023","26","76","84518"
"iPhone 7 Plus","2900","3","32","2016","110","62","3193"
"iPhone 6 Plus","2915","1","16","2014","134","59","3250"
"iPhone 16 Pro","3582","8","128","2024","14","73","91098"
"iPhone 12","2815","4","64","2020","61","94","44569"
"iPhone 14 Plus","4325","6","128","2022","37","82","62885"
"iPhone 6 Plus","2915","1","16","2014","134","66","3533"
"iPhone 6 Plus","2915","1","16","2014","134","83","4520"
"iPhone 13","3227","4","128","2021","50","74","38762"
"iPhone 14 Plus","4325","6","128","2022","37","96","80872"
"iPhone 15 Plus","4395","6","128","2023","26","58","55763"
"iPhone 12 Pro","2815","6","128","2020","61","100","43394"
"iPhone 14 Plus","4325","6","128","2022","37","100","74361"
"iPhone 11 Pro Max","3969","4","64","2019","74","70","21620"
"iPhone 12 Pro","2815","6","128","2020","61","54","23910"
"iPhone 16 Pro Max","4685","8","256","2024","14","94","122400"
"iPhone 12 Pro Max","3687","6","128","2020","60","66","34797"
"iPhone 6s","1715","2","16","2015","122","66","3028"
"iPhone 15 Pro","3343","8","128","2023","26","55","52225"
"iPhone 12 mini","2227","4","64","2020","60","59","17021"
"iPhone XS","2658","4","64","2018","86","100","27486"
"iPhone 15 Plus","4395","6","128","2023","26","89","74228"
"iPhone 12 Pro","2815","6","128","2020","61","94","45637"
"iPhone 8 Plus","2691","3","64","2017","98","92","4903"
"iPhone 14 Plus","4325","6","128","2022","37","53","41203"
"iPhone 11 Pro Max","3969","4","64","2019","74","88","42552"
"iPhone 14 Pro Max","4323","6","128","2022","38","96","84025"
"iPhone 14 Plus","4325","6","128","2022","37","74","57102"
"iPhone 8","1821","2","64","2017","98","91","11978"
"iPhone 14 Pro Max","4323","6","128","2022","38","94","100767"
"iPhone SE (1st gen)","1624","2","16","2016","116","65","1932"
"iPhone 7 Plus","2900","3","32","2016","110","92","4862"
"iPhone 12 Pro Max","3687","6","128","2020","60","97","59523"
"iPhone 13","3227","4","128","2021","50","100","66835"
"iPhone 12 Pro","2815","6","128","2020","61","90","53910"
"iPhone 7","1960","2","32","2016","110","88","4163"
"iPhone 5c","1507","1","8","2013","146","63","2546"
"iPhone 15 Pro","3343","8","128","2023","26","72","72195"
"iPhone XS Max","3174","4","64","2018","86","71","15802"
"iPhone 15","3349","6","128","2023","26","80","58814"
"iPhone 7 Plus","2900","3","32","2016","110","65","3266"
"iPhone 8 Plus","2691","3","64","2017","98","84","4062"
"iPhone 15 Pro","3343","8","128","2023","26","78","74650"
"iPhone 14 Pro Max","4323","6","128","2022","38","53","51521"
"iPhone 12 Pro Max","3687","6","128","2020","60","90","47910"
"iPhone 16 Pro","3582","8","128","2024","14","87","103911"
"iPhone 8 Plus","2691","3","64","2017","98","92","5110"
"iPhone 8 Plus","2691","3","64","2017","98","91","4708"
"iPhone 11 Pro Max","3969","4","64","2019","74","61","15008"
"iPhone 12 mini","2227","4","64","2020","60","76","28859"
"iPhone X","2716","3","64","2017","96","65","17390"
"iPhone 11 Pro","3046","4","64","2019","74","57","12948"
"iPhone 13","3227","4","128","2021","50","67","32559"
"iPhone 15 Pro","3343","8","128","2023","26","64","61266"
"iPhone 8 Plus","2691","3","64","2017","98","78","13427"
"iPhone 12 mini","2227","4","64","2020","60","73","32888"
"iPhone 14 Plus","4325","6","128","2022","37","53","46891"
"iPhone 11 Pro","3046","4","64","2019","74","82","44077"
"iPhone 13 Pro","3095","6","128","2021","50","69","48772"
"iPhone 7 Plus","2900","3","32","2016","110","93","4682"
"iPhone XS Max","3174","4","64","2018","86","89","23239"
"iPhone 16 Pro Max","4685","8","256","2024","14","58","81201"
"iPhone 6 Plus","2915","1","16","2014","134","79","4163"
"iPhone XS Max","3174","4","64","2018","86","98","32433"
"iPhone 16","3561","8","128","2024","14","56","51336"
"iPhone 11 Pro Max","3969","4","64","2019","74","85","42448"
"iPhone 6 Plus","2915","1","16","2014","134","73","3644"
"iPhone 12","2815","4","64","2020","61","84","34403"
"iPhone 12 mini","2227","4","64","2020","60","93","29269"
"iPhone 13 mini","2438","4","128","2021","50","76","36004"
"iPhone 15","3349","6","128","2023","26","52","44660"
"iPhone 16","3561","8","128","2024","14","57","56004"
"iPhone 14 Pro Max","4323","6","128","2022","38","77","64049"
"iPhone 12","2815","4","64","2020","61","83","30913"
"iPhone 16","3561","8","128","2024","14","82","72104"
"iPhone 6","1810","1","16","2014","134","92","3874"
"iPhone XS","2658","4","64","2018","86","68","5113"
"iPhone 11","3110","4","64","2019","74","60","19418"
"iPhone 15 Pro Max","4422","8","256","2023","26","55","67888"
"iPhone 8","1821","2","64","2017","98","83","4303"
"iPhone 16 Plus","4674","8","128","2024","14","53","63124"
"iPhone 16 Plus","4674","8","128","2024","14","64","66034"
"iPhone 5c","1507","1","8","2013","146","75","3076"
"iPhone 14 Pro Max","4323","6","128","2022","38","63","60941"
"iPhone 6","1810","1","16","2014","134","58","2494"
"iPhone 7 Plus","2900","3","32","2016","110","66","3756"
"iPhone 13 Pro","3095","6","128","2021","50","57","36376"
"iPhone 14 Pro","3200","6","128","2022","38","57","47340"
"iPhone 13","3227","4","128","2021","50","94","45678"
"iPhone 12","2815","4","64","2020","61","97","46604"
"iPhone 15 Plus","4395","6","128","2023","26","74","65264"
"iPhone 13 Pro","3095","6","128","2021","50","76","58112"
"iPhone 6","1810","1","16","2014","134","65","2970"
"iPhone 11 Pro Max","3969","4","64","2019","74","77","35441"
"iPhone 13 mini","2438","4","128","2021","50","89","43644"
"iPhone X","2716","3","64","2017","96","69","6890"
"iPhone 16","3561","8","128","2024","14","64","59227"
"iPhone 6s Plus","2750","2","16","2015","122","70","3965"
"iPhone 7 Plus","2900","3","32","2016","110","60","2944"
"iPhone 7","1960","2","32","2016","110","86","3729"
"iPhone 15 Plus","4395","6","128","2023","26","57","54805"
"iPhone 12 mini","2227","4","64","2020","60","80","30462"
"iPhone 16 Plus","4674","8","128","2024","14","65","73997"
"iPhone 13 Pro Max","4352","6","128","2021","50","80","58863"
"iPhone 5c","1507","1","8","2013","146","80","3157"
"iPhone 16 Pro","3582","8","128","2024","14","79","90019"
"iPhone 13","3227","4","128","2021","50","58","39827"
"iPhone SE (1st gen)","1624","2","16","2016","116","60","1599"
"iPhone XR","2942","3","64","2018","86","71","3962"
"iPhone 6","1810","1","16","2014","134","86","4118"
"iPhone 14 Pro Max","4323","6","128","2022","38","77","79648"
"iPhone 12 Pro","2815","6","128","2020","61","78","35106"
"iPhone 11","3110","4","64","2019","74","81","24321"
"iPhone XS","2658","4","64","2018","86","98","9077"
"iPhone 15","3349","6","128","2023","26","66","52386"
"iPhone 11 Pro","3046","4","64","2019","74","65","23658"
"iPhone 13 Pro","3095","6","128","2021","50","91","56892"
"iPhone 11 Pro Max","3969","4","64","2019","74","98","22425"
"iPhone 14 Pro Max","4323","6","128","2022","38","61","62284"
"iPhone 11 Pro","3046","4","64","2019","74","57","18093"
"iPhone 15 Pro","3343","8","128","2023","26","62","61608"
"iPhone 14 Pro Max","4323","6","128","2022","38","55","58886"
"iPhone 8","1821","2","64","2017","98","71","3526"
"iPhone X","2716","3","64","2017","96","88","11913"
"iPhone 6s","1715","2","16","2015","122","83","3778"
"iPhone 5s","1560","1","16","2013","146","96","3905"
"iPhone 5s","1560","1","16","2013","146","100","4715"
"iPhone 11 Pro Max","3969","4","64","2019","74","94","30596"
"iPhone 12 Pro","2815","6","128","2020","61","65","35392"
"iPhone 7","1960","2","32","2016","110","93","3862"
"iPhone 8","1821","2","64","2017","98","87","3900"
"iPhone 12 Pro","2815","6","128","2020","61","90","39646"
"iPhone 13 Pro","3095","6","128","2021","50","92","73382"
"iPhone 8 Plus","2691","3","64","2017","98","100","5002"
"iPhone 13","3227","4","128","2021","50","62","28659"
"iPhone 16 Plus","4674","8","128","2024","14","51","50332"
"iPhone SE (1st gen)","1624","2","16","2016","116","74","2067"
"iPhone 12 mini","2227","4","64","2020","60","85","25177"
"iPhone XS","2658","4","64","2018","86","61","20039"
"iPhone 16 Pro Max","4685","8","256","2024","14","69","101330"
"iPhone XR","2942","3","64","2018","86","89","10913"
"iPhone 15 Pro","3343","8","128","2023","26","73","79654"
"iPhone 6","1810","1","16","2014","134","92","4282"
"iPhone 8","1821","2","64","2017","98","67","8884"
"iPhone 16 Pro","3582","8","128","2024","14","75","85446"
"iPhone 7","1960","2","32","2016","110","76","4160"
"iPhone 12 mini","2227","4","64","2020","60","87","28646"
"iPhone 16 Pro","3582","8","128","2024","14","54","62638"
"iPhone 6","1810","1","16","2014","134","97","3804"
"iPhone 13 Pro Max","4352","6","128","2021","50","59","42267"
"iPhone 13 Pro Max","4352","6","128","2021","50","69","58746"
"iPhone 13","3227","4","128","2021","50","69","36687"
"iPhone 12 Pro Max","3687","6","128","2020","60","56","35281"
"iPhone XS","2658","4","64","2018","86","92","6436"
"iPhone 15 Pro Max","4422","8","256","2023","26","72","87873"
"iPhone 7 Plus","2900","3","32","2016","110","64","3315"
"iPhone 13 Pro Max","4352","6","128","2021","50","81","53265"
"iPhone 6 Plus","2915","1","16","2014","134","55","2775"
"iPhone 6","1810","1","16","2014","134","63","2654"
"iPhone 6","1810","1","16","2014","134","57","2859"
"iPhone 16 Plus","4674","8","128","2024","14","66","68130"
"iPhone 12 mini","2227","4","64","2020","60","94","37027"
"iPhone 11 Pro","3046","4","64","2019","74","53","13533"
"iPhone 14","3279","6","128","2022","38","78","53159"
"iPhone 13","3227","4","128","2021","50","90","46633"
"iPhone 13","3227","4","128","2021","50","60","33925"
"iPhone 7 Plus","2900","3","32","2016","110","91","5363"
"iPhone 16","3561","8","128","2024","14","77","70385"
"iPhone 6s","1715","2","16","2015","122","97","4610"
"iPhone X","2716","3","64","2017","96","53","3302"
"iPhone 6 Plus","2915","1","16","2014","134","60","3176"
"iPhone 14 Pro Max","4323","6","128","2022","38","61","65512"
"iPhone XR","2942","3","64","2018","86","97","28261"
"iPhone 14 Pro Max","4323","6","128","2022","38","96","86285"
"iPhone XS Max","3174","4","64","2018","86","78","21178"
"iPhone 12 Pro Max","3687","6","128","2020","60","66","31309"
"iPhone 14 Pro Max","4323","6","128","2022","38","89","83269"
"iPhone 5s","1560","1","16","2013","146","79","3249"
"iPhone 16 Pro","3582","8","128","2024","14","79","91661"
"iPhone 13","3227","4","128","2021","50","79","44153"
"iPhone 12 Pro","2815","6","128","2020","61","63","26975"
"iPhone 15","3349","6","128","2023","26","73","58339"
"iPhone 15 Pro Max","4422","8","256","2023","26","75","96562"
"iPhone 6","1810","1","16","2014","134","77","3705"
"iPhone 6","1810","1","16","2014","134","89","3730"
"iPhone 7 Plus","2900","3","32","2016","110","51","2722"
"iPhone 14 Pro Max","4323","6","128","2022","38","83","72130"
"iPhone 5c","1507","1","8","2013","146","77","2599"
"iPhone 14","3279","6","128","2022","38","91","64928"
"iPhone 7 Plus","2900","3","32","2016","110","62","3243"
"iPhone 13 Pro","3095","6","128","2021","50","54","37844"
"iPhone XS","2658","4","64","2018","86","65","25976"
"iPhone 5s","1560","1","16","2013","146","55","2237"
"iPhone 5","1440","1","16","2012","158","86","3708"
"iPhone 12 Pro","2815","6","128","2020","61","79","53025"
"iPhone 5s","1560","1","16","2013","146","62","2895"
"iPhone 11 Pro","3046","4","64","2019","74","53","11309"
"iPhone 16 Plus","4674","8","128","2024","14","83","76965"
"iPhone XR","2942","3","64","2018","86","80","6536"
"iPhone 6 Plus","2915","1","16","2014","134","65","3559"
"iPhone 15 Pro Max","4422","8","256","2023","26","67","93838"
"iPhone 6s","1715","2","16","2015","122","75","3484"
"iPhone 6 Plus","2915","1","16","2014","134","67","3493"
"iPhone 12","2815","4","64","2020","61","52","15970"
"iPhone 12 Pro Max","3687","6","128","2020","60","78","54360"
"iPhone 13","3227","4","128","2021","50","55","28146"
"iPhone 6s","1715","2","16","2015","122","64","2637"
"iPhone 13","3227","4","128","2021","50","66","39065"
"iPhone 13 mini","2438","4","128","2021","50","89","45559"
"iPhone 16","3561","8","128","2024","14","78","72797"
"iPhone 6s","1715","2","16","2015","122","80","3385"
"iPhone 13 Pro Max","4352","6","128","2021","50","70","46198"
"iPhone XS Max","3174","4","64","2018","86","79","18813"
"iPhone 12 mini","2227","4","64","2020","60","64","26349"
"iPhone 12 mini","2227","4","64","2020","60","75","29336"
"iPhone 15","3349","6","128","2023","26","80","63473"
"iPhone 13 Pro","3095","6","128","2021","50","67","40494"
"iPhone 12 Pro","2815","6","128","2020","61","72","37105"
"iPhone 12 mini","2227","4","64","2020","60","66","29694"
"iPhone 13 Pro","3095","6","128","2021","50","99","61662"
"iPhone 16 Plus","4674","8","128","2024","14","90","98331"
"iPhone 13 mini","2438","4","128","2021","50","56","26314"
"iPhone 16","3561","8","128","2024","14","52","46226"
"iPhone 11 Pro Max","3969","4","64","2019","74","92","24076"
"iPhone 15","3349","6","128","2023","26","57","44075"
"iPhone 14","3279","6","128","2022","38","90","52137"
"iPhone 13 Pro","3095","6","128","2021","50","77","47683"
"iPhone 5s","1560","1","16","2013","146","90","3955"
"iPhone 6s","1715","2","16","2015","122","56","2280"
"iPhone 5s","1560","1","16","2013","146","79","3809"
"iPhone 12 Pro","2815","6","128","2020","61","99","63081"
"iPhone 15 Plus","4395","6","128","2023","26","88","75089"
"iPhone 13 mini","2438","4","128","2021","50","70","33440"
